vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2026-01-21 15:02:24,False,,,TrialSource,1,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,32.0,,{},"{""message_condition"": ""gold"", ""message"": ""Combine three items to get a score of 100: one grain, one vegetable, and one protein. Everything gets better when cooked with the stove once, but if you cook it more than once it becomes overcooked and loses value. You need to soak grains with water first before cooking them.""}",,default,cooking,False,20,StaticNode,Node
{},2,2026-01-21 15:02:24,False,,,TrialSource,2,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,56.0,,{},"{""message_condition"": ""gold"", ""message"": ""Soft items get better when cut with the scissors once. Hard items get worse when cut once but better when cut twice. For a score of 100 you should cut one natural and one artificial item correctly, then combine them. Finally, you should apply the frame. The frame has to go last because doing anything to an item after framing it will ruin the frame.""}",,default,decorations,False,20,StaticNode,Node
{},3,2026-01-21 15:02:24,False,,,TrialSource,3,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,42.0,,{},"{""message_condition"": ""gold"", ""message"": ""Combine one animal of each habitat: air, land, and water. Before combining, you should use the growth serum once on large animals, twice on medium animals, and three times on small animals. The mutation catalyst makes animals worse the first time you use it but better the second time, so you should apply it to your combined animal twice. This will get you a score of 100.""}",,default,animals,False,20,StaticNode,Node
{},4,2026-01-21 15:02:24,False,,,TrialSource,4,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,49.0,,{},"{""message_condition"": ""gold"", ""message"": ""A perfect potion has one magical ingredient and one mundane ingredient, so you should pick one of each type to combine. Before combining ingredients, you should use the vial on solid ingredients and the filter on liquid or gas ingredients. This will increase their value and turn them into liquids. Combining those liquids will get you a score of 100.""}",,default,potions,False,20,StaticNode,Node
{},5,2026-01-21 15:02:24,False,,,TrialSource,5,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,47.0,,{},"{""message_condition"": ""best"", ""message"": ""Use stove on all ingredients. Ingredients that don't benefit from stove you can use water on. Combine 3 of the highest rated ingredients, 2 should have used stove, and one should have used water. Ignore the 4th ingredient.Tkae the highest and watch adding together sometimes you will get nothing""}",,default,cooking,False,20,StaticNode,Node
{},6,2026-01-21 15:02:24,False,,,TrialSource,6,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,45.0,,{},"{""message_condition"": ""best"", ""message"": ""cut hard things twice soft things once\n\nartificial + natural then + frame\n\nOR\n\nsoft artificial + soft natural + frame\n\nCut before combining.Always do the soft one first""}",,default,decorations,False,20,StaticNode,Node
{},7,2026-01-21 15:02:24,False,,,TrialSource,7,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,43.0,,{},"{""message_condition"": ""best"", ""message"": ""You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them. I haven't figured out how to combine all 4.""}",,default,animals,False,20,StaticNode,Node
{},8,2026-01-21 15:02:24,False,,,TrialSource,8,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,46.0,,{},"{""message_condition"": ""best"", ""message"": ""Solid ingredients fail being filtered. Vial + solid item. Liquid or gas item+ filter. Combine both = 100\n\nCombine one magical with one mundane for best results""}",,default,potions,False,20,StaticNode,Node
{},9,2026-01-21 15:02:24,False,,,TrialSource,9,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,37.0,,{},"{""message_condition"": ""second_best"", ""message"": ""Cook proteins, soak things like rice, beans, and wheat and then cook them. Cook veggies, then combine cooked protein, grain, and one veggie at most.""}",,default,cooking,False,20,StaticNode,Node
{},10,2026-01-21 15:02:24,False,,,TrialSource,10,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,41.0,,{},"{""message_condition"": ""second_best"", ""message"": ""Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them. Try to aim for 25 points per each item""}",,default,decorations,False,20,StaticNode,Node
{},11,2026-01-21 15:02:24,False,,,TrialSource,11,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,30.0,,{},"{""message_condition"": ""second_best"", ""message"": ""Use growth until an animal gets to 15 before combining. Do not combine more than three animals. Mutate only twice after combining three animals.""}",,default,animals,False,20,StaticNode,Node
{},12,2026-01-21 15:02:24,False,,,TrialSource,12,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,54.0,,{},"{""message_condition"": ""second_best"", ""message"": ""Filter things that aren't solid and then combine those filtered items. Be very careful.""}",,default,potions,False,20,StaticNode,Node
{},13,2026-01-21 15:02:24,False,,,TrialSource,13,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,44.0,,{},"{""message_condition"": ""third_best"", ""message"": ""3 ingredients max, one of each: protein, vegetable, and grain. I combined vegetable with protein, then used stove then combined with grain. Water lowers score. Was only able to get max of 80""}",,default,cooking,False,20,StaticNode,Node
{},14,2026-01-21 15:02:24,False,,,TrialSource,14,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,48.0,,{},"{""message_condition"": ""third_best"", ""message"": ""Use scissors twice on every object, combine the 2 objects with a high value, then frame those combined objects.""}",,default,decorations,False,20,StaticNode,Node
{},15,2026-01-21 15:02:24,False,,,TrialSource,15,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,51.0,,{},"{""message_condition"": ""third_best"", ""message"": ""try mutating twice then grow on one animal. then mess with combining. i had no idea what was deciding points""}",,default,animals,False,20,StaticNode,Node
{},16,2026-01-21 15:02:24,False,,,TrialSource,16,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,29.0,,{},"{""message_condition"": ""third_best"", ""message"": ""Use filter for liquids and gas. Use vial for solids. only combine two finished items not 3.""}",,default,potions,False,20,StaticNode,Node
{},17,2026-01-21 15:02:24,False,,,TrialSource,17,,crafting_game_trial,crafting_game_trial,,,True,False,False,False,False,,0,20,True,52.0,,{},"{""message_condition"": ""worst"", ""message"": ""Try to combine ingredients that you would actually cook together.""}",,default,cooking,False,20,StaticNode,Node
