trial_id,participant_id,chain_id,domain,message,chain_pos,condition
1,6,29,decorations,Combine what would look nice as a picture on the wall.,1,chain
3,9,61,potions,Remember how each ingredient reacts and make logical combinations. Everything does not need to be combined to get 100,1,chain
5,6,48,animals,The mutation serum always takes points. Growth serum is really good.,1,chain
7,3,55,animals,You can individually get each creature high by doing mutant>growth>mutant>growth. After doing that you can combine up to 3 of them. I haven't figured out how to combine all 4.,1,chain
8,9,34,decorations,"Be satisfied with a positive outcome even if its not 100. Hold down onto ingredients once you cut or framed theme to understand if they are artifical, natural, soft or hard.",1,chain
9,6,63,potions,Don't touch the vial...its worthless.,1,chain
13,6,17,cooking,This one is easy...just don't get too complicated.,1,chain
15,9,44,animals,You can combine up to three. You can use the growth serum multiple times on the same animal.,1,chain
16,3,36,decorations,"Use scissors twice on every object, combine the 2 objects with a high value, then frame those combined objects.",1,chain
17,16,12,cooking,Use the stove but many ingredients are iffy. The water is not your friend.,1,chain
18,18,57,animals,It is more favorable in the long run to combine two animals that are from the same environment and not use the mutation.,1,chain
20,9,13,cooking,combine three items. use both water and stove. Combinations can be things you have never had before. Some can add up to 100. Try to make cooked soaked bread and bean stew.,1,chain
21,3,5,cooking,"Use stove on all ingredients. Ingredients that don't benefit from stove you can use water on. Combine 3 of the highest rated ingredients, 2 should have used stove, and one should have used water. Ignore the 4th ingredient.",1,chain
23,16,50,animals,Stay away from the mutation,1,chain
24,16,79,potions,The vial and filter do not work together,1,chain
25,3,76,potions,See how each object response to vile and filter then combine the highest value ones.,1,chain
26,16,23,decorations,Careful combining ingredients with frame. Use scissors with items that make sense,1,chain
27,18,21,decorations,Group cut-able objects together and add scissors. Then group non cut-able objects together with frame.,1,chain
28,24,16,cooking,"Cooking something twice doesn't make it better, and most times will make it negative. I tried making a BLT and it was marked as overcomplicated, so try and stick to only 3 ingredients mixed together.",1,chain
29,24,30,decorations,Cutting something twice can make it finely cut if cutting it once is negative. Combine two finely cut or regularly cut items and then frame them,1,chain
30,26,68,potions,"most liquids can be filtered, and solids can be extracted with vial. Go with your gut.",1,chain
31,18,14,cooking,You should not add stove and water together. And also raw food are best for the stove.,1,chain
32,28,4,cooking,it is hard,1,chain
33,25,32,decorations,"It seems like the frame tool was a bad option, resulting in heavy losses when adding ingredients to it. The scissors tool was better and did well when using ingredient paper and wood OR paper and shell. Scissors was capable of large losses as well but the above 2 examples should be good.",1,chain
34,24,72,potions,Filter things that aren't solid and then combine those filtered items. Put solids in vials and then combine the items in vials.,1,chain
35,18,73,potions,Combining vial or filter or even both with anything gives you 30 points mostly.,1,chain
36,28,37,decorations,it is impossible to reach 80,1,chain
37,24,46,animals,Use growth until an animal gets to 15 before combining. Do not combine more than three animals. Mutate only twice after combining three animals.,1,chain
39,25,49,animals,"Okay, so I think the key is to avoid the nutation catalyst and focus on the growth serum. Be careful not to make a crazy hybrid creature (selecting lots of ingredients) because you'll get this message:
too many is overcomplicated
and you will lose points",1,chain
40,30,31,decorations,Try combining natural and artificial soft first then cut to get 80,1,chain
41,28,56,animals,this is really hard to combine,1,chain
43,26,43,animals,Don't overmix!! Play with a few things and keep moving,1,chain
44,28,71,potions,try your best it will run out of time,1,chain
45,25,9,cooking,I found the stove scored the most points. Try makinbg combinations you think would actually taste good. Don't make it overcomplicated. Avoid bread.,1,chain
46,7,3,cooking,"I did not solve this puzzle. Max I got was 80 points.
There is meat, protein, vegetable, and grain. 4 ingredients will overcomplicate your dish, only use 3 ingredients.

You can make all kinds of dishes: salads, sandwiches, skillet, medley, tortillas, stew. I did not explore stew much. Soaking the beans and rice didn't do much but maybe I did it in the wrong order.

Cooked protein/meat + cooked vegetable + grain = 80
Cooked meat + cooked vegetable + cooked vegetable = 80
Cooked vegetable + cooked vegetable + cooked rice = 80",1,chain
47,32,69,potions,The objects always have the same reaction with either item,1,chain
49,25,80,potions,"as a gerenal rule but don't overdo it or it will be too complicated
Vials work best with solids, filters with liquids",1,chain
50,32,51,animals,use first item,1,chain
51,26,26,decorations,"Don't overmix!!! Use your best logic (cut paper, soft with soft, etc)",1,chain
53,30,1,cooking,"don't use water, always 3 any protein veggie or grain",1,chain
54,32,22,decorations,dont use frame,1,chain
56,26,10,cooking,This round was fun. Just make good dishes. As you would in real life from the pantry.,1,chain
57,32,18,cooking,water is useless,1,chain
58,30,77,potions,The best combo is 2 liquid and filter,1,chain
60,30,54,animals,TRy a water and air animal then a growth,1,chain
61,38,42,animals,"serum seems to do better than catalyst.
combine small animals together and big animals together.
very unsure.",1,chain
62,40,64,potions,I really couldnt figure out a good strategy,1,chain
65,40,28,decorations,dont overcomplicate things,1,chain
67,38,70,potions,"don't over-combine
don't combine similar elements (flowers and flowers) together",1,chain
68,40,2,cooking,cook things that would go together in real liofe,1,chain
69,40,47,animals,mutation barely ever is good,1,chain
71,49,53,animals,Knowing when to use the catalyst and the growth serum is very important,1,chain
72,38,15,cooking,"stove beef with soaked veggie
beef corn potato stove",1,chain
73,49,20,cooking,Combining the ingredients that goes together best works well.,1,chain
74,38,27,decorations,cut hard material and combine with cut soft material,1,chain
75,53,59,animals,"Mutation rarely works out, go for the growth, usually one animal will have a score of 15 once you add the growth enhancement.",1,chain
76,54,41,animals,try mutating twice then grow on one animal. then mess with combining. i had no idea what was deciding points,1,chain
78,49,75,potions,Knowing what to mix is hard. Just be careful with filtering,1,chain
80,53,19,cooking,"Don't cook twice, 3 combinations at most for the highest score, utilize real world logic.",1,chain
81,49,33,decorations,Knowing which soft or hard decorations to combine is important,1,chain
83,54,35,decorations,"cut hard things twice for points, then frame. play with different ideas but leave one thing to cut and frame if the other things fail",1,chain
85,53,74,potions,"Vial for extract, filter for filter. Combine the best outcome extract with the best outcome filter for most of the highest-scoring results. There are some exceptions, such as one where 2 extracts can be combined.",1,chain
86,54,62,potions,"vial extracts. sometimes vial twice works. filter bad stuff (ink, poison). vial good things, then add the vial and filtered together. always leave an element to get points if you screw everything else up",1,chain
88,53,39,decorations,Always frame last as combining something already framed will break the frame.,1,chain
90,54,8,cooking,let him cook. dont overcomplicate. take 60,1,chain
95,74,45,animals,"Combine two of the four animals after aging them a few times (or max,) then with those two you combined add a couple mutations. Repeat for the other two animals left.",1,chain
97,74,24,decorations,Don't use the scissors on everything. Try to think about making an arts and craft frame to try and help.,1,chain
98,74,11,cooking,Cook everything you use. Don't combine everything though.,1,chain
99,74,67,potions,Filter non-solids. Vial the solids. Combine the ones that seem more alike.,1,chain
105,98,52,animals,"Difficult to find a pattern. The catalyst always seemed to result in negative points. Combining animals I was unable to find a helpful pattern. Using growth 2 or 3 times seemed to result in some negative points. I started deciding to just leave the animals separated and give them only one growth, otherwise, I would end up with negative points as my score.",1,chain
108,107,60,animals,mutation isnt reliable. Overgrowth is bad. No real world application.,1,chain
111,98,6,cooking,"I would suggest not trying to over complicate things. And some recipes are strange, but high value, such as cooked mushroom-beet sandwich for 60 points. Combining or cooking too much usually turns it into zero points.",1,chain
112,107,66,potions,Use filter for liquids. Use vial for solids. only combine two finished items not 3.,2,chain
113,109,7,cooking,"Here are tips for several different rounds to maximize your points:  
Grab the beans but don't soak them, just cook them

Soak rice in water and then cook on stove

Then, combine the cooked beans with the soaked rice

Cook the bacon with stove. Then, put bread on TOP of bacon

Cook fish on stove. Then, add fresh mushrooms but don't cook them. Then, add corn on top of fish and mushroom

Cook egg on stove. Then cook potato separately with stove. Then, place potato on top of egg.

Cook beans, potatoes and mushrooms separately with stove. Then, place potatoes on top of beans. Then, place mushrooms on top of potatoes",1,chain
115,101,12,cooking,"use stove, pepper, raw beef.

grain and water are spoilers",2,chain
118,98,65,potions,"It is very confusing to figure this one out. I would suggest keeping it simple. Keep at least one item worth 30 points on the board. I wasn't able to figure out the pattern, sometimes extractions fail and I gave up on filtering because it kept ruining some times. I stuck 30 points most rounds by being cautious to avoid getting zero points.",1,chain
119,101,49,animals,avoid mutation catalyst and the trout and make sure you dont combine everything,2,chain
121,107,6,cooking,Some real world application. cook raw foods. Cook veggies. i stpped at mixing 3 items.,2,chain
124,109,37,decorations,"You can only place ONE item in frame or it ruins the frame and you get a negative score.  So, place ribbons, sunflower, leaf or mushroom on top of frame by themselves.",2,chain
125,121,1,cooking,"Use stove not water. Use combo of veggie, protein, and grain. Don't use more than 3 ingredients",2,chain
128,109,47,animals,"Mutation barely ever is good.  Also, putting growth serum on panda, whale, lion, kangaroo, snake, elephant. zebra or shark produces most points",2,chain
129,101,35,decorations,simply cut and frame items. do not include everything. be realistic,2,chain
130,98,21,decorations,"Group cut-able objects together and add scissors. Then group non cut-able objects together with frame.

Do not combine more than 2 objects before cutting or framing. If I had 3 cuttable items, I used one with a non cuttable item.",2,chain
131,107,26,decorations,"1st user: Don't overmix!!! Use your best logic (cut paper, soft with soft, etc). 2nd user: Mixing isnt working well. Hard to figure combos. Cut items seem to match. Most i got was 50 using only cut items. Experiment with soft items so you can add feedback for the next person.",2,chain
132,121,68,potions,"most liquids can be filtered, and solids can be extracted with vial. Do that first.. Similar themes go well together. (unicorn +rose or basilisk + batwing)",2,chain
134,109,77,potions,"The best combo is 2 liquid and then put the filter on top of them.  If a round doesn't have 2 liquids, put filter on top of single liquid.",2,chain
135,101,66,potions,Use filter for liquids and gas. Use vial for solids. only combine two finished items not 3.,1,chain
137,121,58,animals,"Combine 3

2 mutant catalyst

growth 1

No large animals in the combo.",1,chain
139,126,54,animals,Do not use the mutation catalyst,2,chain
142,126,38,decorations,"Frame comes last, try that",1,chain
