player_id,question,answer
1ea7a7d5-cf2e-41ce-936c-7f27b85d5a00,strategy,I had to mess around before finding out what worked.
1ea7a7d5-cf2e-41ce-936c-7f27b85d5a00,enjoyable,I loved it!
1ea7a7d5-cf2e-41ce-936c-7f27b85d5a00,feedback,n/a
0390ae3f-c78a-482e-a36b-158a5480a87f,strategy,"I combined things I thought would belong together and the points wouldn't go up, or would go down, very frustrating, and I like puzzles!"
0390ae3f-c78a-482e-a36b-158a5480a87f,enjoyable,"Not very much, I felt like everything I tried was incorrect."
0390ae3f-c78a-482e-a36b-158a5480a87f,feedback,Make it easier! lol
bb24d44b-5fee-4708-b86a-bdfbc9495701,strategy,"I made different combinations to figure out what the vial and filter worked with and once I knew that, it was pretty easy to figure out how to get 100pts. "
bb24d44b-5fee-4708-b86a-bdfbc9495701,enjoyable,It was really fun! I enjoyed it a lot. 
bb24d44b-5fee-4708-b86a-bdfbc9495701,feedback,I hope you do more like this in the future! I would gladly join again!
f5afad64-f02d-4be3-b5ed-24aa102c2a19,strategy,Put together ingredients like I would when making a dish at home.
f5afad64-f02d-4be3-b5ed-24aa102c2a19,enjoyable,Fairly enjoyable. The water function was relatively useless however.
f5afad64-f02d-4be3-b5ed-24aa102c2a19,feedback,No issues! I got screened out once but was able to fix it on my end.
5a47bf94-09ce-4e22-8ede-c57d7baab385,strategy,I tried to assess what combos worked best and then used them often.
5a47bf94-09ce-4e22-8ede-c57d7baab385,enjoyable,It was pretty fun overall. There wasn't anything I disliked about the game.
5a47bf94-09ce-4e22-8ede-c57d7baab385,feedback,none
5a47bf94-09ce-4e22-8ede-c57d7baab385,strategy,I tried to assess what combos worked best and then used them often.
5a47bf94-09ce-4e22-8ede-c57d7baab385,enjoyable,It was pretty fun overall. There wasn't anything I disliked about the game.
5a47bf94-09ce-4e22-8ede-c57d7baab385,feedback,none
3ce09b38-310b-4c50-a544-ba2cb52da712,strategy,trying out many different things
3ce09b38-310b-4c50-a544-ba2cb52da712,enjoyable,couldnt really figure out the optimal strategy
3ce09b38-310b-4c50-a544-ba2cb52da712,feedback,
4d0819cf-4ffc-4a86-ae79-38848802b7b7,strategy,Tried to stay awake
4d0819cf-4ffc-4a86-ae79-38848802b7b7,enjoyable,It was repetitive and ultimately predictable. It needs to be shorter or change categories
4d0819cf-4ffc-4a86-ae79-38848802b7b7,feedback,no
bf3a8ba7-0106-4ea5-9af2-1bcfd66cb7ff,strategy,I really don't know that I had much of a strategy at all. I just went with the biggest animal and then applied the growth serum. It seemed simple and straightforward and pretty consistent in terms of points.
bf3a8ba7-0106-4ea5-9af2-1bcfd66cb7ff,enjoyable,"I didn't really like it, honestly. I found it to be kind of confusing and even after playing it, I don't really know that I fully grasped the game. But thanks!"
bf3a8ba7-0106-4ea5-9af2-1bcfd66cb7ff,feedback,No technical problems. Thanks!
3e986777-1e74-48fe-aa3e-3ffe022cb458,strategy,Trial and error.
3e986777-1e74-48fe-aa3e-3ffe022cb458,enjoyable,It was fine but it went on far too long and was probably twice as long as you claimed it would be.
3e986777-1e74-48fe-aa3e-3ffe022cb458,feedback,"I had a few error messages but nothing really bad happened. They seemed to fix themselves. I think I lost an ingredient once, that's all."
61bbe039-f9b7-4f0f-98ad-9920df9de8d4,strategy,I tried to play the game like I was working on a menu for dinner. 
61bbe039-f9b7-4f0f-98ad-9920df9de8d4,enjoyable,"It was different than any other thing I’ve done before, so that was interesting,"
61bbe039-f9b7-4f0f-98ad-9920df9de8d4,feedback,no
d57b8220-24b0-4f7b-9a10-89497e05a5da,strategy,I just tried out a lot of different things to see what happened and what were the best ways to combine things.
d57b8220-24b0-4f7b-9a10-89497e05a5da,enjoyable,"It was fun, but it dragging things back and forth then waiting every time did get tedious."
d57b8220-24b0-4f7b-9a10-89497e05a5da,feedback,
f2c1be5a-bca2-42e7-818f-9737cfce6fc3,strategy,I just experimented until I found something that seemed to work.
f2c1be5a-bca2-42e7-818f-9737cfce6fc3,enjoyable,"Overall I found it engaging and fun, but it did get a little boring and repetitive after awhile."
f2c1be5a-bca2-42e7-818f-9737cfce6fc3,feedback,
