run_idx,timestep,action,new_item,score,inventory,domain
0,0,"({'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True})",,0,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,1,"({'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True})",,0,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,2,"({'name': 'pineapple', 'emoji': '🍍', 'value': 0, 'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['fruit'], 'all_ingredients': ['pineapple']}, {'name': 'coconut', 'emoji': '🥥', 'value': 0, 'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['fruit'], 'all_ingredients': ['coconut']})","{'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['fruit'], 'all_ingredients': ['pineapple', 'coconut'], 'tool': False, 'value': 0, 'name': 'Pineapple Coconut', 'emoji': '🍍🥥'}",0,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,3,"({'name': 'milk', 'emoji': '🥛', 'value': 0, 'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['eggs_dairy'], 'all_ingredients': ['milk']}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True})","{'tool': False, 'salt_level': 0, 'cook_level': 1, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['eggs_dairy'], 'all_ingredients': ['milk'], 'value': 5, 'name': 'Cooked Milk', 'emoji': '🥛♨️'}",5,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,4,"({'tool': False, 'salt_level': 0, 'cook_level': 1, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['eggs_dairy'], 'all_ingredients': ['milk'], 'value': 5, 'name': 'Cooked Milk', 'emoji': '🥛♨️'}, {'name': 'raw rice', 'emoji': '🌾', 'value': 0, 'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain'], 'all_ingredients': ['raw rice']})","{'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Raw Rice and Milk', 'emoji': '🌾🥛'}",0,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,5,"({'name': 'ginger', 'emoji': '🫚', 'value': 0, 'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic'], 'all_ingredients': ['ginger']}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True})","{'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 1, 'edible': True, 'ingredient_types': ['aromatic'], 'all_ingredients': ['ginger'], 'value': 5, 'name': 'Chopped Ginger', 'emoji': '🫚🔪'}",5,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,6,"({'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Raw Rice and Milk', 'emoji': '🌾🥛'}, {'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True})","{'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}",5,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,7,"({'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 0, 'edible': True, 'ingredient_types': ['fruit'], 'all_ingredients': ['pineapple', 'coconut'], 'tool': False, 'value': 0, 'name': 'Pineapple Coconut', 'emoji': '🍍🥥'})","{'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['fruit'], 'all_ingredients': ['pineapple', 'coconut'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut', 'emoji': '🍍🥥💧'}",5,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,8,"({'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['fruit'], 'all_ingredients': ['pineapple', 'coconut'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut', 'emoji': '🍍🥥💧'}, {'tool': False, 'salt_level': 0, 'cook_level': 0, 'water_level': 0, 'chop_level': 1, 'edible': True, 'ingredient_types': ['aromatic'], 'all_ingredients': ['ginger'], 'value': 5, 'name': 'Chopped Ginger', 'emoji': '🫚🔪'})","{'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}",0,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
0,9,"({'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True})",,0,"[{'name': 'water', 'emoji': '💧', 'value': 0, 'tool': True}, {'name': 'knife', 'emoji': '🔪', 'value': 0, 'tool': True}, {'name': 'stove', 'emoji': '🔥', 'value': 0, 'tool': True}, {'name': 'salt', 'emoji': '🧂', 'value': 0, 'tool': True}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': False, 'ingredient_types': ['grain', 'eggs_dairy'], 'all_ingredients': ['milk', 'raw rice'], 'tool': False, 'value': 0, 'name': 'Wet Raw Rice and Milk', 'emoji': '🌾🥛💧'}, {'salt_level': 0, 'cook_level': 0, 'water_level': 1, 'chop_level': 0, 'edible': True, 'ingredient_types': ['aromatic', 'fruit'], 'all_ingredients': ['pineapple', 'coconut', 'ginger'], 'tool': False, 'value': 0, 'name': 'Wet Pineapple Coconut Ginger', 'emoji': '🍍🥥🫚'}]",cooking
