vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,module_state_id,is_global,on_deploy_complete,async_on_deploy_required,async_on_deploy_requested,async_on_deploy_complete,async_on_deploy_failed,key,degree,target_n_trials,ready_to_spawn,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
{},1,2025-12-01 09:14:36,False,,,TrialSource,1,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,128.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},2,2025-12-01 09:14:36,False,,,TrialSource,2,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,135.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},3,2025-12-01 09:14:36,False,,,TrialSource,3,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,127.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},4,2025-12-01 09:14:36,False,,,TrialSource,4,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,108.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},5,2025-12-01 09:14:36,False,,,TrialSource,5,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,98.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},6,2025-12-01 09:14:36,False,,,TrialSource,6,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,164.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},7,2025-12-01 09:14:36,False,,,TrialSource,7,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,168.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},8,2025-12-01 09:14:36,False,,,TrialSource,8,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,153.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},9,2025-12-01 09:14:36,False,,,TrialSource,9,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,118.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},10,2025-12-01 09:14:36,False,,,TrialSource,10,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,129.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},11,2025-12-01 09:14:36,False,,,TrialSource,11,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,157.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
{},12,2025-12-01 09:14:36,False,,,TrialSource,12,,chain_trial,chain_trial,,,True,False,False,False,False,,0,1,True,96.0,,"{""messages"": [], ""inventories"": []}","{""messages"": [], ""inventories"": []}",,default,cooking,False,1,MessagePassingNode,Node
